ID,YEAR,TRANS,SITE,TREAT,PLOT,GROUP,YST,WATER,TREE,VEG,Agrocani,Andropoli,Betunana,Betupube,Calastri,Carecane,Carechor,Caredioi,Careechi,Carelasi,Carelimo,Carelivi,Caremage,Carepauc,Carerost,Cirspalu,Drosera,Dryocart,Empenigr,Erioangu,Eriovagi,Hammpalu,Ledupalu,Lycoannu,Melaprat,Menytrif,Piceabie,Pinusylv,Potepalu,Rubucham,Salix spp,Schepalu,Triccesp,Trieeuro,Utriinte,Vaccmyrt,Vaccoxyc2,Vacculig,Vaccviti,Violpalu,Spharecu,Sphabalti,Sphacapi,Sphacusp,Sphafusc,Sphamage,Sphamaju,Sphaobtu,Sphapapi,Sphapulc,Spharube,Spharuss,Sphasubf,Sphasubn,Sphasubs,Sphatene,Sphatere,Sphawarn,Sphasp,Aulapalu,Brachoedi,Bryumsp,Callstra,Cladonia spp,Dicranum spp,Hepatics 2,Limbinte,Limbrevo,Mylianom,Pleuschr,Pohlnuta,Polycomm,Polystri,Warnsdorfia sp,O_SEDGE,SEDGE,HERB,GRASS,D_SHRUB,E_SHRUB,Fs_MOSS,Br_MOSS,Ho_MOSS,La_MOSS,Hu_MOSS,D_SHRUB1,E_SHRUB1,TREE
mesc_24,2000,K,mes,ctr,mesc_24,mes_ho,0,-1.210526316,0,18.1,,3,,,,,,,,15,,,,,,,,,,0.1,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,33.75,,,,,,,,,,,,,,,,,,,1.5,0,15.1,1,0,0,4,0,1.5,33.75,0,0,0,4,0
mesc_25,2000,K,mes,ctr,mesc_25,omb_hu,0,-1.210526316,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,99.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,99.75,0,0,0
mesc_26,2000,L,mes,ctr,mesc_26,mes_l,0,-1.210526316,0,39,,2,2,,,,,,,25,,,,,2,,,,,,,,,,,,,,10,,,,,,,,5,,,,28.75,,,,,,,,,,,,,,,,3.025,,,,,,0.025,,,,,,,,,,,,0,27,10,0,2,7,0,0.025,0,31.775,0,2,7,0
mesc_27,2000,L,mes,ctr,mesc_27,min_hl,0,-1.210526316,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,97,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,0.025,0,0,0,0,0,0,0.025,0.025,0,97,0,0,0,0
mesc_28,2000,L,mes,ctr,mesc_28,mes_ho,0,-1.210526316,0,36,,5,,,,,,,,30,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.25,0,31,0,0,0,7,0,11.25,0,0,0,0,7,0
mesc_29,2000,L,mes,ctr,mesc_29,mes_ho,0,-1.210526316,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,,,,,,,,,,0.525,,,,,,,,,,,0.025,,,,,,,,0.275,0,0,0,0,0,0,0,0.3,0.525,0,0,0,0,0
mesc_30,2000,L,mes,ctr,mesc_30,min_hl,0,-1.210526316,0,32,,2,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,20,,2,,,,24,,,,,,,,,,,,,,,,,,,1.525,,,,,,,,,,0.025,,,,,0,30,20,0,0,4,1.55,0,0,24,0,0,4,0
mesc_31,2000,M1,mes,ctr,mesc_31,oli_l,0,-1.210526316,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,91.25,,,,,7,,,,,,,,,,,,,,0.325,,,,,,,,,,,,,,,0,0,0,0,0,0,0.325,0,0,98.25,0,0,0,0
mesc_32,2000,M1,mes,ctr,mesc_32,omb_hu,0,-1.210526316,0,49,,10,3,,,,,,,18,,,,,,,,,20,,1,,,,,,,,,,,,,,,,7,,,,,,,,78.25,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,1,18,0,0,3,37,20,0,0,16.5,78.25,3,37,0
mesc_33,2000,M1,mes,ctr,mesc_33,omb_hu,0,-1.210526316,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,64.25,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,0,0,0,0,0,0,35,0,0,5.5,64.25,0,0,0
mesc_34,2000,M1,mes,ctr,mesc_34,min_hl,0,-1.210526316,0,13.5,,5,3,,,,3,,0.5,3,,,,,,,,,,1,1,,,,,,,,,,,,,,,,15,,,,76.25,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,1,7.5,0,0,3,20,0.2,0,0,76.25,0,3,20,0
mesc_35,2000,M1,mes,ctr,mesc_35,mes_l,0,-1.210526316,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,9,,,,,,,1.25,,,,,,,2.275,,10,,,0.025,,,1.025,,,,,,,,,,,,0,0,0,0,0,0,0.025,1.025,3.525,19,0,0,0,0
mesc_36,2000,M2,mes,ctr,mesc_36,mes_ho,0,-1.210526316,0,16,,2,4,,,,7,,,1,,,,,2,,,,,,,,,,,4,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,10,4,0,4,7,0,4,0,0,0,4,7,0
mesc_37,2000,M2,mes,ctr,mesc_37,mes_l,0,-1.210526316,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,11.525,,,,,,,,,,,,,,,,28.75,,,1,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,40.275,0,0,0,0
mesc_38,2000,M2,mes,ctr,mesc_38,mes_ho,0,-1.210526316,0,42.1,,,,,,,,,,35,,,,,0.1,,,,,,,,,,,,,,7,,,,,,10,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,28.75,,,,,,28.75,0,35.1,17,0,0,2,0,57.75,0,0,0,0,2,0
mesc_39,2000,M2,mes,ctr,mesc_39,min_hl,0,-1.210526316,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,81.25,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,15.75,,,1.25,,0,0,0,0,0,0,17.8,0,0,81.25,0,0,0,0
mesc_40,2000,M2,mes,ctr,mesc_40,min_hl,0,-1.210526316,0,31.6,,5,0.5,,,,,,,25,,,,,1,,,,,,,,,,,,,,,,,0.6,,,,,1,,,,49.5,,,,43,3.25,,,,,,,,,,,,,,0.825,,,,,,,,,0.275,,,,,,0,26,0.6,0,0.5,6,0.825,0.275,0,52.75,43,0.5,6,0
mesf_01,2000,R1,mes,fst,mesf_1,,39,-23.05263158,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,6.25,,,,,0.5,,,,,,6.25,,,,,,,,0.25,,,,,,,,,,,,28,,,0,0,0,0,0,0,28.25,0,0,13,0,0,0,0
mesf_02,2000,R1,mes,fst,mesf_2,,39,-23.05263158,7,7,,,3,,5,,,,,2,,,,,,,,,,,,,,,,,7,,,,,,,,,,1,,,,,,,,,0.025,,,,,,9,,,,,,,,,,,,,,,,,,43.75,,,11.25,,0,2,0,5,3,8,55,0,0,9.025,0,3,1,7
mesf_03,2000,R1,mes,fst,mesf_3,,39,-23.05263158,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.025,,,,,,,,,,,28.75,,,,,,,,0.625,,,,,0.25,,,,,,,2.375,,,0,0,0,0,0,0,3.25,0,0,28.775,0,0,0,0
mesf_04,2000,R1,mes,fst,mesf_4,,39,-23.05263158,0,1.1,,,,,,,,,,,,,,,,,,,0.1,,1,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,31.25,,,1,0,0,0,0,0.1,31.25,0,0,50.75,0,0,0.1,0
mesf_05,2000,R1,mes,fst,mesf_5,,39,-23.05263158,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,4.75,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,1,,37.5,,,0,0,0,0,0,0,38.5,0,0,39.75,0,0,0,0
mesf_06,2000,R2,mes,fst,mesf_6,,39,-23.05263158,0,7,,,2,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,67.5,,,,,,,,,,,,,,,,,,,,11,,,0,7,0,0,2,0,11,0,0,67.75,0,2,0,0
mesf_07,2000,R2,mes,fst,mesf_7,,39,-23.05263158,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,11.25,,,,,38,,,,,0,0,0,0,0,0,49.25,0,0,0,0,0,0,0
mesf_08,2000,R2,mes,fst,mesf_8,,39,-23.05263158,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,,,11.75,0.5,,,,,,8.75,,,,,,,,,,,,,0.25,,,,,7.525,,32.5,,,0,0,0,0,0,0,40.275,0,0,21.75,11.75,0,0,0
mesf_09,2000,R2,mes,fst,mesf_9,,39,-23.05263158,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,58.75,,,,,6.75,,,,,,20,,,,,,,,,,,,,,,,,,,,22.5,,,0,0,0,0,0,0,22.5,0,0,85.5,0,0,0,0
mesf_10,2000,R2,mes,fst,mesf_10,,39,-23.05263158,0,16.1,,1,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,0.75,,,,,,2.25,,,,,,,,0.525,,,,,,1,,,,,,23,,,0,0.1,0,0,0,16,23.525,1,0,3,0,0,16,0
mesf_11,2000,S1,mes,fst,mesf_11,,39,-23.05263158,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,40,,,,,1.25,,,,,,20,,,,,,,,0.2,,,,,0.125,,,,,0.25,,,1.75,,0,0,0,0,0,0,2.325,0,0,61.25,0,0,0,0
mesf_12,2000,S1,mes,fst,mesf_12,,39,-23.05263158,0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,2,,0.025,,,,,,,,,,,60,,,,,,,,0.8,,,,,1.275,,,,,6.75,,2.275,,,0,0,0,0,0.1,2,11.1,0,0,60.025,0,0.1,2,0
mesf_13,2000,S1,mes,fst,mesf_13,,39,-23.05263158,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,35,,,,,4.5,,,,,,,,,,,,,,0.075,,,,,,,,,,2.75,,26.25,,,0,0,0,0,0,0,29.075,0,0,39.5,0,0,0,0
mesf_14,2000,S1,mes,fst,mesf_14,,39,-23.05263158,0,3.1,,,,,,,0.1,,,,,,,,,,,,1,2,,,,,,,,0.1,,,,,,,,,0.5,,,,2.525,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,46.25,,,0.025,,0,2.1,0,0,0,1.6,61.275,0,0,2.525,0,0,1.5,0.1
mesf_15,2000,S1,mes,fst,mesf_15,,39,-23.05263158,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15.5,,,,,,,,,,,51.25,,,,,,,,,,,,,,,,,,2,,0.75,,,0,0,0,0,0,0,2.75,0,0,66.75,0,0,0,0
mesf_16,2000,S2,mes,fst,mesf_16,,39,-23.05263158,0,8.4,,,,,,,1,,,,,,,,,,,,,,7,,,,,,,,,,,,,0.4,,,,,,,53.75,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,0.025,,7,1,0.4,0,0,0,0.475,0,0,54.25,0,0,0,0
mesf_17,2000,S2,mes,fst,mesf_17,,39,-23.05263158,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,,,,,,,21.75,,,,,,,,0.05,,,,,6.5,,,,,1.275,,,,,0,0,0,0,0,0,7.825,0,0,21.75,0,0,0,0
mesf_18,2000,S2,mes,fst,mesf_18,,39,-23.05263158,0,20.2,,,,,,,3,,,,,,,,,,,,0.2,,7,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,17.75,,,,,,,,,,,,,33.75,,,,,2.2,,,,,7,3,0,0,0,10.2,35.95,0,0,17.75,0,0,10.2,0
mesf_19,2000,S2,mes,fst,mesf_19,,39,-23.05263158,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,,,,,,,68.75,,,,,,,,,,,,,0.75,,,,,,,,,,0,0,0,0,0,0,0.75,0,0,68.75,0,0,0,0
mesf_20,2000,S2,mes,fst,mesf_20,,39,-23.05263158,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,52.5,,,,,,,,,,,,,,,,,,,,0.025,,,0,0,0,0,0,0,0.025,0,0,53.5,0,0,0,0
mesd_01,2000,N1,mes,wldd,mesd_1,mes_ho,0,-1.090909091,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,6.25,,,,,,,,,,,,,,,,9.25,,,,,,0.75,,,,,,,,,,,56.25,0,0,0,0,0,0,0,57,0,15.5,0,0,0,0
mesd_02,2000,N1,mes,wldd,mesd_2,mes_ho,0,-1.090909091,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0
mesd_03,2000,N1,mes,wldd,mesd_3,min_hl,0,-1.090909091,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,95.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,95.25,0,0,0,0
mesd_04,2000,N1,mes,wldd,mesd_4,mes_l,0,-1.090909091,0,26.1,,3,,,,,0.1,,,15,,,,,2,,,,2,4,,,,,,,,,,,,,,,10,,1,,,,89.75,,,,,,,,,,,,,,,,0.5,6.125,,0.25,,,0.025,,,,,,,,,,,,0,21.1,10,0,0,6,0.25,0.025,0,96.375,0,0,6,0
mesd_05,2000,N1,mes,wldd,mesd_5,mes_ho,0,-1.090909091,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,,,,,,,,,,5.5,,,,,,,,0.025,,,0.025,,,,,,,,0.275,0,0,0,0,0,0,0,0.325,5.5,0,0,0,0,0
mesd_06,2000,N2,mes,wldd,mesd_6,oli_l,0,-1.090909091,1,29,,,20,,,,1,,,18,,,,,,,,,10,,,,,,,,,1,,,,,,,,,3,,,,93,,,,,5,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,0.275,,0,19,0,0,20,14,0.325,0,0,98,0,20,13,1
mesd_07,2000,N2,mes,wldd,mesd_7,omb_hu,0,-1.090909091,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,91,3.125,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75,,0,0,0,0,0,0,5.75,0,0,3.125,91,0,0,0
mesd_08,2000,N2,mes,wldd,mesd_8,min_hl,0,-1.090909091,0,11.1,,3,10,,,,0.1,1,,1,,,,,,,,,3,,,,,,,3,,,,,,,,,,,,,,,10,,,,65,16.25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,,0,2.1,3,0,10,6,0.025,0,0,26.25,65,10,6,0
mesd_09,2000,N2,mes,wldd,mesd_9,mes_l,0,-1.090909091,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,,,,,,,,,,,,,,,,,53.75,,,,,,0.025,,,,,,,,,,,,0,0,0,0,0,0,0,0.025,0,53.75,0,0,0,0
mesd_10,2000,N2,mes,wldd,mesd_10,oli_l,0,-1.090909091,1,28.2,,20,,,,,,,,7,,,,0.2,,,,,,,1,,,,,,,1,,,,,,,,,20,,,,50,,,,,,,,13.25,,,,,,,,,,,0.55,,,,,,,,,,,,,,,1,7.2,0,0,0,41,0.55,0,0,63.25,0,0,40,1
